reviewId,content,score
4fda6278-1d09-4f81-9e50-b2a9389082d6,Good,5
b53531ff-4f22-4fe3-9503-22da08203885,SOO GOOD,5
e7a41e88-f51b-4b18-b765-d42457a829ce,Please tik tok team virel my videos please,5
75a69c84-4699-4d5b-bffc-14387218a347,So cool,5
120c8a02-a2ab-4523-a76e-74ec0d3bee1c,On my way to 1K...😍🥰,5
1e6a031f-6c45-40b0-8ccf-10123ca10e25,Arsalan Khan plzzz viral videos,5
a472102f-18fd-49e3-83c8-5d60036c43e7,I just love the app,5
32042aeb-c33c-4c57-943a-b70e63a73379,Amazing,5
2b0ef421-34f8-4675-91ff-5fb1dcab55cf,Really nice app so the only problem I have encountered is the posting or recording of my videos,5
6c8c13e0-354c-4b56-bfea-ef70243d1e6a,Nice Apps❤️,5
e68069e7-70e3-481c-a6d3-f37b9f21a87f,Excellent app,2
1e241d70-c22b-41ee-a206-5a9c2de7e44e,Brilliant,5
cd909f36-7a08-4b3f-816a-e3405aea7d5b,Unfreeze my request ple tiktok,5
b56de704-69ba-4b84-b998-70db873434d6,Mmm,5
b5c1ace5-09a8-49b1-ab78-b943babc7830,Good,5
186ebd98-3ab7-4661-8037-f4a92b6c5ce0,Good,5
4cb97773-7c00-43d5-9eeb-4c84345ed9ee,samir,5
7c14a591-37c8-4160-9bc6-4fe5145fed76,The beautiful app tik tok,4
34965df5-4775-4918-94cb-dc12efc46a7e,Wow,5
2d438912-4b7d-41e9-9c9f-405a4fd303ca,"Please, take my videos for you",5
d40d1960-eb59-4ed4-a25c-d85f4065c3d8,Tiktok is good,5
cdb30ee6-d023-47c5-ae30-c33ea3b65f02,Love it,5
d4d8d782-4721-430c-9398-5f3f0c74ade8,Tick Tock is very good,5
7f5354fb-5fc6-4535-9936-bc4722987c20,I love it so much,5
934a9a39-27fa-41cd-812d-7cbbb71a9f40,nc,5
7f7b8651-ac3f-40d2-b034-8e23775b6aa7,I love this application so much,4
ed1fec13-4d65-4eef-9f6c-46cb9e50d9d2,"Ok so you were saying? Your sharing across domains and networks You have a wall of certifications that these companies give you and over time, your able to collect certifications and add them to your security Trust certifications That is correct, and when I disable your certification then what? I did study Does it break anything? Does it control me or do you have anxiety from it causing you pain? Good programming bad acting? I will take everything and do anything to it, there was no such thing",5
92533657-ff41-483d-a868-03d07728c59b,Loved it,5
13f76a46-a0bb-4c66-bf06-7b4c8fbaf07e,"It is an addictive app which makes you waste time and loose focus on ur studies, friends,social life. It also causes a short memory span which can have adverse affects in day to day life.",1
f7c5fd2c-6dc8-4a29-b9c8-ad94c259752c,Mujtaba,1
be1a7fa2-7fbf-4994-844d-b850cf31ce61,Excellent,5
6090e3ae-2e5e-40af-b014-d87e5e8d0e00,1991@Guda,5
69115184-0049-43a4-a972-6f04d954303d,Fun! Fun! Fun!,5
c1f3a14b-a8a4-4d69-9c74-98a44ad080cc,Tiktok is not letting me to create a new tiktok account after suspending my old account or it's not working on my device then I tried to login my new account on another device it worked but it's not working on my this device and I can't update this after tapping on the update bar. I hope it will work .,1
422413ae-0e96-48fd-b81c-433f013aeacb,You spying on us,1
c6ee9f78-bc03-404a-9e2e-92079dfc510f,ILOVE TIK TOK,5
5b725071-3ef3-43e8-8d53-518c2a2d4e25,amazing app,5
be874220-3c43-4def-a7ed-b42670e8e6b3,Mugi,5
